Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Gender,Age,Tenure,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
22,1,,,,,,2492.146786,,,,,,M,54,0,2423.411071,2423.411071,7,7,3587.078214,3587.078214,1392.682143,466.84,1273.107143,29,29,4,12,9,0,1,1,0,1.107142857,30.56035714
23,1,2,4,1,,,22.96714286,25325.43786,868.7035714,333.4007143,,,M,4,160,559.1042857,559.0246429,4,3,945.715,945.715,107.1428571,529.3792857,309.1928571,33,33,1,26,6,0,0,1,0,0,8.25
24,1,,,,,,227.3110714,,,,,,F,29,23,1141.0925,1141.0925,3,3,902.0678571,902.0678571,0,258.425,639.5357143,22,22,0,6,15,,,,,,
25,1,,,,,,79.38107143,,,,,,F,97,181,813.67,813.67,4,4,325.2178571,325.2178571,121.4285714,202.5392857,0,19,19,5,13,0,,,,,,
26,1,,1,1,,,1868.234286,,61064.28571,0,,,F,27,24,480.7871429,480.7871429,3,3,476.7142857,476.7142857,457.1428571,0,16.17857143,7,7,4,0,2,0,0,0,0,0,0
27,1,,,1,,,1649.98,,,0,,,M,62,181,10491.71071,10134.56786,4,3,425,67.85714286,0,0,0,2,1,0,0,0,1,0,0,220.4882143,0,0
28,1,,,,,,14.60678571,,,,,,F,18,28,926.7871429,926.7871429,2,2,979.5214286,979.5214286,0,19.2,565.3214286,9,9,0,1,6,,,,,,
29,1,,,1,,,373.3542857,,,0,,,F,60,150,199.4935714,192.6217857,5,4,385.2435714,192.6217857,92.85714286,0,89.28571429,8,4,1,0,1,0,1,0,0,4.286785714,0
30,1,1,2,1,1,,162.4825,0.323928571,0,510.7796429,26.38357143,,M,54,2,4911.420357,4839.809643,10,5,3119.271786,2822.118214,528.5714286,378.5357143,2128.636786,44,19,4,26,9,,,,,,
31,1,,,,1,1,2336.850714,,,,613.6017857,679.5007143,F,59,97,1224.863571,1056.094286,6,2,2816.695714,2697.481429,57.14285714,1320.296429,843.8278571,46,41,1,22,13,0,0,0,0,0,0
32,2,,,1,,1,12295.25857,,,0,,14708.57143,M,29,15,2402.402143,1591.587857,11,8,2303.747143,1591.587857,385.7142857,0,280.2857143,18,10,4,0,2,,,,,,
33,1,,,,,,18635.57536,,,,,,M,71,150,730.5721429,730.5721429,5,5,635.8428571,635.8428571,139.2857143,56.73571429,436.4285714,13,13,2,4,6,0,1,1,0,3.25,14.98964286
34,1,1,3,1,1,,188.6085714,1343.258929,0,0,728.6689286,,F,48,104,18889.29393,18134.3675,11,4,8458.406429,7683.438214,1107.142857,844.5753571,5775.094286,54,19,6,33,11,1,0,0,0.601071429,0,0
35,1,,,1,,,14.86321429,,,0,,,M,66,31,0.039642857,0.039642857,1,1,698.2428571,698.2428571,107.1428571,290.4928571,245.7857143,21,21,6,9,4,0,0,0,0,0,0
36,1,1,2,,,,60.99785714,1912.6325,3697.8375,,,,F,49,263,7155.630357,7142.885,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.238035714,0,0
37,1,1,,,,,19.01357143,3850.173214,,,,,F,30,172,1205.178571,1188.082857,3,2,889.6303571,889.6303571,382.1428571,265.8803571,238.9285714,32,32,12,16,2,0,1,0,0,0.642857143,0
38,1,1,,,,,6398.112143,7908.883214,,,,,F,27,12,987.8585714,987.8585714,4,4,957.6796429,957.6796429,307.1428571,219.4296429,427.7142857,26,26,4,12,9,0,0,0,0,0,0
39,1,,,,,1,1548.2375,,,,,286.7235714,M,78,51,670.2682143,615.5467857,4,3,756.5846429,747.6917857,196.4285714,336.8703571,71.42857143,35,33,1,28,1,,,,,,
40,1,,,,,,871.7367857,,,,,,M,27,33,0.001071429,0.001071429,1,1,18.03571429,18.03571429,0,0,18.03571429,1,1,0,0,1,0,0,0,0,0,0
41,1,,,1,,,194.9557143,,,1373.342857,,,M,20,198,1638.628571,1638.628571,4,4,948.9107143,948.9107143,310.7142857,523.9107143,107.1428571,18,18,6,7,1,,,,,,
42,1,,12,,,,875.3714286,,0,,,,M,23,4,643.1878571,643.1878571,4,4,546.6428571,546.6428571,178.5714286,68.53571429,296.0714286,9,9,1,1,6,1,0,0,15.27571429,0,0
43,1,,,1,,,26315.77036,,,0,,,F,65,83,2230.964286,1716.591071,22,18,2242.764643,1812.185357,410.7142857,334.5978571,551.6428571,51,37,7,10,13,1,1,0,73.04178571,1.964285714,0
44,1,,,,,,186.8460714,,,,,,F,35,51,0.196428571,0.196428571,1,1,362.6428571,362.6428571,0,0,0,3,3,0,0,0,0,1,0,0,4.464285714,0
45,1,1,,,,,0,38757.89464,,,,,M,63,52,5.913928571,0.008571429,2,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,1,1,0,15.39392857,5.556785714
46,1,1,1,,,,503.9935714,3628.388571,1891.052143,,,,M,45,95,2470.373214,2469.470357,6,5,4293.023214,2677.916071,964.2857143,407.1660714,591.8571429,35,32,5,9,16,0,1,0,0,7.1525,0
47,1,1,5,,,,622.2275,1537.054286,0,,,,M,45,229,15.82357143,0.100357143,2,1,1060.306071,1060.306071,0,6.073928571,1053.375,22,22,0,2,19,0,0,1,0,0,4.496071429
48,1,,5,1,,,2418.3175,,59721.75929,0,,,M,64,92,360.975,360.975,2,2,308.5357143,308.5357143,178.5714286,0,128.6785714,8,8,1,0,6,0,1,0,0,0.893928571,0
49,2,,,,,,4.145357143,,,,,,F,46,19,415.7382143,415.7382143,9,9,111.7142857,111.7142857,0,0,108.6785714,3,3,0,0,2,0,1,0,0,15.24642857,0
50,1,,,,,,169.5635714,,,,,,F,33,109,,,,,,,,,,,,,,,0,0,0,0,0,0
51,1,1,,1,,,1856.718571,5.896071429,,0,,,F,67,85,34.80392857,0.0075,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,
52,1,,,,1,,960.5725,,,,0.464285714,,F,43,53,49.79964286,0,4,0,36.60321429,1.964285714,17.85714286,0,0,8,1,1,0,0,0,0,0,0,0,0
53,1,1,9,1,1,,0,7522.666429,83343.19786,531.1228571,398.3478571,,M,64,125,4412.515,4409.652143,4,3,5510.359643,5510.359643,1157.142857,1104.989286,3241.591071,68,68,8,21,34,0,0,0,0,0,0
54,1,,,,,1,4.55,,,,,7857.142857,M,38,149,864.5207143,721.4321429,3,2,663.4678571,647.7892857,0,0,107.1428571,6,4,0,0,1,,,,,,
55,1,,,,,,735.1589286,,,,,,F,51,137,1124.046071,1124.046071,5,5,1104.178571,1104.178571,0,0,1098.5,13,13,0,0,6,,,,,,
56,1,1,,,,,583.7142857,2907.094286,,,,,M,54,105,977.3978571,964.9039286,3,2,478.7457143,478.7457143,314.2857143,164.46,0,10,10,3,7,0,0,0,0,0,0,0
57,1,,,,,,1155.26,,,,,,M,28,157,134.3575,134.3575,20,20,183.735,183.735,107.1428571,34.735,36.57142857,6,6,1,2,1,,,,,,
58,1,,6,,,,1263.052857,,1793.9,,,,F,45,49,,,,,,,,,,,,,,,0,0,0,0,0,0
59,1,,,,,,5676.246429,,,,,,F,32,149,449.7532143,449.7532143,2,2,85.44285714,85.44285714,0,0,0,2,2,0,0,0,,,,,,
60,1,,,,,,3891.116071,,,,,,F,20,28,356.4042857,356.4042857,2,2,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
61,1,,,,,,232.8353571,,,,,,F,14,159,0.000357143,0.000357143,1,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,,,,,,
62,1,,,,,,317.9525,,,,,,M,51,113,321.4332143,321.4332143,2,2,261.5,261.5,139.2857143,0,111.5,4,4,2,0,1,,,,,,
63,1,1,2,,,,351.8014286,17220.45286,5616.197857,,,,M,37,29,623.8671429,353.6807143,4,2,362.6092857,362.6092857,0,0,361.2878571,4,4,0,0,3,,,,,,
64,1,,,1,,,0.759642857,,,0,,,F,61,38,1275.826786,1275.826786,5,5,1449.484643,1449.484643,535.7142857,518.1278571,393.0353571,51,51,3,42,4,,,,,,
65,1,,,,,,220.4589286,,,,,,F,67,180,191.1789286,191.1789286,4,4,190.1071429,190.1071429,75,18.57142857,85.82142857,19,19,6,9,2,0,0,0,0,0,0
66,1,1,1,,1,,101.3239286,4104.848929,0,,671.9992857,,M,62,91,2135.977143,0.017857143,9,1,12005.12964,9965.385714,0,962.9582143,0,23,5,0,14,0,0,0,0,0,0,0
67,1,,,,,,1682.813214,,,,,,F,14,20,632.0292857,632.0292857,2,2,69.53571429,69.53571429,0,60.78571429,0,3,3,0,1,0,0,0,1,0,0,4.190357143
68,1,,,1,,,4714.448214,,,0,,,M,54,20,874.6642857,832.8860714,6,4,815.5914286,773.8510714,678.5553571,34.33928571,10.71428571,33,31,13,3,1,0,1,0,0,3.5,0
69,1,,,,,,1909.81,,,,,,M,41,17,3851.019286,3851.019286,3,3,988.4967857,988.4967857,135.7142857,199.0821429,653.7003571,21,21,2,10,9,1,0,0,42.71660714,0,0
70,1,,,,,,346.4853571,,,,,,M,38,152,1785.719286,1785.719286,3,3,1731.7975,1731.7975,632.1428571,130.4428571,937.6046429,19,19,4,3,10,,,,,,
71,1,,,1,,,53.59607143,,,0,,,F,43,15,271.4303571,271.4303571,2,2,301.5,301.5,178.5714286,0,120.3214286,6,6,2,0,3,0,0,0,0,0,0
72,1,,,,,,1377.374286,,,,,,M,47,129,430.8242857,430.8242857,4,4,1261.107143,1261.107143,357.1428571,0,880.1071429,13,13,1,0,10,0,0,0,0,0,0
73,1,1,1,1,,,179.3571429,21.01607143,53571.42857,0,,,M,87,163,1283.688571,533.3767857,6,3,1053.6,1053.596071,0,0,304.5164286,4,3,0,0,2,0,1,1,0,1.785714286,18.35392857
74,1,1,,,1,,736.7660714,0,,,18.76214286,,M,63,20,833.285,793.8325,8,3,708.3928571,706.9642857,214.2857143,0,492.6785714,7,5,3,0,2,,,,,,
75,1,1,35,,,,3707.065714,5589.0225,4392.478571,,,,M,59,57,503.6742857,496.2525,5,2,511.2857143,511.2857143,53.57142857,188.6785714,266.5357143,13,13,1,6,5,1,0,0,0.004821429,0,0
76,1,,,1,1,1,178.3085714,,,0,886.5778571,3447.673571,F,66,178,792.6785714,659.2928571,7,2,1587.809643,1559.736071,285.7142857,39.42857143,0,16,9,2,1,0,0,0,0,0,0,0
77,1,,,,,,168.1757143,,,,,,M,71,2,1752.813929,1752.813929,2,2,1470.986429,1470.986429,232.1428571,743.915,492.6428571,16,16,1,10,4,,,,,,
78,1,,,,,,3684.754286,,,,,,F,24,142,4312.963571,4312.963571,5,5,2721.265,2721.265,435.4785714,1592.823571,683.6071429,64,64,3,47,10,0,0,0,0,0,0
79,1,2,1,,,,340.195,901.5539286,4771.731071,,,,F,41,75,50.34857143,0.000357143,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,,,,,,2756.826786,,,,,,M,9,81,25.00035714,25.00035714,2,2,18.62142857,18.62142857,0,18.62142857,0,6,6,0,6,0,0,0,0,0,0,0
81,1,,,,,,5860.190714,,,,,,M,86,19,0.073214286,0.073214286,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0
82,1,,1,,,,11324.90786,,34612.79036,,,,F,20,151,1001.576071,1001.576071,4,4,886.0357143,886.0357143,357.1428571,0,525.2857143,16,16,1,0,14,0,0,1,0,0,5.396428571
83,1,3,7,,,,14.855,90800.88214,0,,,,F,43,111,569.7671429,568.7203571,4,3,225.0714286,225.0714286,0,0,224.3928571,4,4,0,0,3,0,1,1,0,5.25,28.68535714
84,2,,,,,,0,,,,,,M,66,235,,,,,,,,,,,,,,,,,,,,
85,1,,,1,,,364.4975,,,0,,,F,25,60,196.4964286,196.4964286,3,3,120.25,120.25,71.42857143,8.892857143,29.21428571,6,6,2,1,2,0,0,0,0,0,0
86,1,,,,,,34.32214286,,,,,,M,36,31,9319.197143,9319.197143,4,4,1086.582143,1086.582143,460.7142857,0,203.6785714,15,15,6,0,5,1,0,0,1.457321429,0,0
87,1,,19,,,,826.4403571,,1035.577143,,,,M,45,58,0.000357143,0.000357143,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,1,0,0,3.875178571,0,0
88,1,,,,,,7153.65,,,,,,M,21,33,127.5721429,127.5721429,3,3,110.0642857,110.0642857,46.42857143,62.38571429,0,12,12,5,6,0,0,0,0,0,0,0
89,1,1,2,,,,137.7014286,893.1703571,1462.066071,,,,F,40,118,1979.155714,1940.126786,6,5,2601.4375,1887.151786,1089.285714,82.43107143,715.435,24,23,8,2,13,,,,,,
90,1,,,,,,649.5714286,,,,,,F,20,81,107.1432143,107.1432143,2,2,78.95357143,78.95357143,35.71428571,3.382142857,35.82142857,4,4,1,1,1,0,0,0,0,0,0
91,1,,,,,,0,,,,,,M,35,61,1217.780714,1217.780714,2,2,1196.107143,1196.107143,571.4285714,503.25,121.4285714,29,29,4,23,2,,,,,,
92,1,,,,,,2728.945714,,,,,,M,59,149,8921.083214,8921.083214,6,6,9175.231071,9175.231071,0,828.6692857,5577.774286,36,36,0,15,12,0,0,0,0,0,0
93,1,2,,1,1,,8.870357143,3655.818929,,23.06428571,1.428571429,,F,31,8,2186.541071,1367.827857,25,17,2137.954643,1356.104643,32.14285714,0,220.3214286,36,16,1,0,8,0,1,0,0,3.392857143,0
94,1,1,,,,,8079.0425,7620.556071,,,,,M,22,189,527.6478571,527.3632143,4,3,367.0892857,367.0892857,232.1428571,79,55.30357143,7,7,1,2,3,,,,,,
95,1,,,1,,1,3662.217857,,,0,,2812.066786,M,35,151,1808.9675,1395.194286,18,13,2289.280714,1895.194286,1214.285714,0,60.39285714,26,17,6,0,2,0,0,1,0,0,6.071428571
96,1,1,2,,,,22.32857143,2077.6125,14285.71429,,,,M,30,151,438.7257143,438.2985714,3,2,110.3571429,110.3571429,0,0,108.5714286,3,3,0,0,2,0,1,0,0,6.107142857,0
97,1,1,,1,,1,67.9925,6082.56,,142.0660714,,809.465,F,71,135,3048.894286,2560.763571,20,14,2644.318571,2314.883214,1057.142857,304.3317857,433.1928571,53,44,9,15,10,,,,,,
98,1,,,1,,,468.4696429,,,0,,,M,51,150,153.5721429,153.5721429,5,5,236.5885714,236.5885714,0,7.16,226.0357143,7,7,0,1,5,,,,,,
99,1,,12,,,,22.89857143,,4689.070357,,,,F,68,150,1807.352857,1807.352857,5,5,1669.236429,1669.236429,0,951.415,698.7142857,34,34,0,17,15,,,,,,
100,1,,,,1,1,0,,,,247.4932143,802.8071429,F,39,86,1471.782857,953.1439286,11,3,1351.497857,911.4642857,35.71428571,413.4085714,327.2857143,36,13,1,17,8,,,,,,
101,1,1,2,,,,473.3592857,452.2821429,14429.05143,,,,M,63,139,227.3657143,192.8510714,4,3,393.8914286,393.8914286,357.1428571,0,10.82142857,5,5,1,0,1,,,,,,
102,1,,,1,,,48.77107143,,,114.14,,,M,20,172,4160.701071,2840.979643,38,33,4245.904643,2803.675714,232.1428571,786.3367857,202.2496429,86,58,4,38,6,1,0,1,2.958035714,0,6.9525
103,1,,,,,,42.99071429,,,,,,F,80,199,0.010357143,0.000714286,2,1,6.438214286,6.428571429,0,0,0,2,1,0,0,0,0,1,0,0,12.25642857,0
104,1,1,1,,,,501.29,41481.50786,0,,,,M,10,65,528.3825,527.7946429,4,3,556.1075,556.1075,0,53,495.8575,10,10,0,1,8,,,,,,
105,1,,,,,,670.2957143,,,,,,M,49,150,1046.461429,1046.461429,4,4,683.7242857,683.7242857,303.5714286,374.7957143,0,13,13,3,6,0,,,,,,
106,1,,3,,,,112.35,,0,,,,F,48,88,745.22,745.22,2,2,319.8928571,319.8928571,0,0,316.9642857,7,7,0,0,6,0,0,0,0,0,0
107,1,,,,,,23.33071429,,,,,,F,26,181,0.013214286,0.013214286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,2,,1,,,816.8389286,0,,0,,,F,39,82,1175.480357,1171.326071,8,6,465.5,465.5,0,31.60714286,430.5,10,10,0,2,7,0,0,0,0,0,0
109,1,,,,,,1113.518571,,,,,,M,64,151,1721.251786,1721.251786,5,5,1979.8675,1979.8675,589.2857143,471.1089286,909.6157143,60,60,11,32,10,,,,,,
110,1,1,1,,,,62.47035714,1146.495714,0,,,,M,55,76,32975.32607,18194.53536,8,6,18252.57143,395.4285714,0,0,395.4285714,8,7,0,0,7,,,,,,
111,1,,,1,,,0,,,31.5575,,,F,34,94,1329.852857,1329.852857,4,4,1889.872143,1889.872143,1250,267.8364286,369.5357143,15,15,2,6,6,,,,,,
112,1,,,,,,204.4614286,,,,,,F,73,31,157.2882143,157.2882143,4,4,222.5764286,222.5764286,146.4285714,76.14785714,0,21,21,8,13,0,0,0,1,0,0,12.5
113,1,,,1,,1,50.78071429,,,0,,17300.48964,F,43,150,251.8785714,191.8075,7,4,241.9903571,226.6475,107.1428571,16.48214286,0,12,9,2,2,0,0,0,0,0,0,0
114,1,,,,1,,35.71428571,,,,1068.209643,,F,26,13,1406.255714,691.97,7,6,1016.868571,302.5828571,107.1428571,41.86857143,132.1428571,17,16,7,6,2,0,0,0,0,0,0
115,1,,,,,,415.8978571,,,,,,F,57,144,7495.072143,7495.072143,4,4,4104.453214,4104.453214,500,11.96071429,0,6,6,2,1,0,,,,,,
116,1,,,,,,637.8357143,,,,,,F,47,239,91.08071429,91.08071429,2,2,126.9285714,126.9285714,0,124.9642857,0,2,2,0,1,0,0,0,0,0,0,0
117,4,,,1,,,0,,,0,,,F,43,153,1095.411071,1095.411071,8,8,1232.391071,1232.391071,0,522.0407143,705.5289286,31,31,0,19,11,,,,,,
118,1,1,2,,,,1184.938214,5876.281429,23214.28571,,,,F,43,92,3098.8125,3075.161786,4,2,1618.580357,1618.580357,142.8571429,1209.508929,266.2142857,34,34,1,26,7,0,0,1,0,0,11.3825
119,1,1,3,,,,194.9589286,3573.113214,8287.8875,,,,F,25,152,218.9935714,218.1089286,3,2,89.98214286,89.98214286,0,53.94642857,33.64285714,6,6,0,3,2,,,,,,
120,1,2,,,,,156.8175,4.548571429,,,,,M,32,14,1036.266786,1021.007857,3,2,710.9821429,710.9821429,114.2857143,139.5535714,456.9285714,19,19,1,9,8,0,0,1,0,0,7.297857143
121,1,1,1,1,1,,37.82142857,541.4121429,329.6078571,98.14071429,2.357142857,,F,25,31,2883.950714,2502.466786,9,5,2519.906429,1147.464286,71.42857143,1372.442143,727.1428571,45,19,1,26,17,,,,,,
122,1,,,,,,1392.766786,,,,,,M,39,80,857.1078571,857.1078571,3,3,862.4289286,862.4289286,0,0,861.7860714,5,5,0,0,4,1,1,0,3.293035714,2.857142857,0
123,2,,,,,,8883.968214,,,,,,F,22,40,30.38178571,30.38178571,2,2,35.89285714,35.89285714,0,33.92857143,0,2,2,0,1,0,0,0,1,0,0,10.46107143
124,1,,,1,,,120.495,,,0,,,M,68,47,637.6189286,637.6189286,5,5,456.8696429,456.8696429,0,0,332.7196429,8,8,0,0,5,,,,,,
125,1,,,1,1,,0,,,0,108.1207143,,M,38,175,1754.083571,892.7896429,13,6,2070.089286,1764.592857,392.8571429,300.1392857,521.9464286,28,17,1,8,13,,,,,,
126,1,,,1,,,70.79964286,,,0,,,F,33,173,771.6589286,771.6589286,8,8,999.0714286,999.0714286,0,0,994.7142857,23,23,0,0,22,,,,,,
127,1,,,1,,,2893.112857,,,676.7528571,,,F,25,150,32.15,32.15,3,3,52.14285714,52.14285714,0,0,52.14285714,4,4,0,0,4,1,1,1,19.35464286,0.071428571,14.07142857
128,1,,,1,,,31.29285714,,,0,,,M,70,6,633.4371429,633.4371429,3,3,612.8857143,612.8857143,0,10.95357143,598.5392857,13,13,0,1,11,,,,,,
129,1,,,,,,1103.658571,,,,,,M,42,126,1062.034286,1062.034286,5,5,1021.607143,1021.607143,678.5714286,0,343.0357143,9,9,2,0,7,1,0,1,28.29553571,0,6.138928571
130,1,,,1,,,12.75035714,,,681.5203571,,,F,60,147,1922.257143,1339.546429,24,22,1958.164286,1350.260714,185.7142857,85.37142857,496.0357143,45,24,6,11,3,1,0,0,0.067142857,0,0
131,1,,,,,,898.485,,,,,,M,47,92,23.21428571,23.21428571,1,1,24.32142857,24.32142857,0,0,22.14285714,3,3,0,0,2,1,1,0,3.138928571,4.642857143,0
132,1,1,,,,,79.41857143,1259.155,,,,,M,50,53,68.40142857,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.473214286,0,0
133,1,,,,,,140.6675,,,,,,M,46,6,0.018928571,0.018928571,1,1,1.428571429,1.428571429,0,0,0,1,1,0,0,0,,,,,,
134,1,,,,,1,2809.197857,,,,,7237.215357,M,32,128,528.7110714,433.4292857,3,2,403.8214286,401,285.7142857,0,0,6,5,2,0,0,0,0,1,0,0,20.14
135,1,,,,,,184.1060714,,,,,,M,24,82,0.001785714,0.001785714,1,1,169.5382143,169.5382143,71.42857143,95.60964286,0,10,10,4,4,0,,,,,,
136,1,,,,,,564.9810714,,,,,,M,33,52,399.0728571,399.0728571,2,2,96.64285714,96.64285714,0,0,95.10714286,4,4,0,0,3,0,0,0,0,0,0
137,3,,1,,,,185.7221429,,0,,,,F,63,168,447.1128571,447.1128571,2,2,503.9807143,503.9807143,178.5714286,255.9092857,67.42857143,11,11,1,6,3,0,1,0,0,9.392857143,0
138,1,,,,,,114.5914286,,,,,,M,47,79,182.1589286,182.1589286,2,2,123.6071429,123.6071429,0,0,121.4285714,2,2,0,0,1,,,,,,
139,1,,,1,1,,1653.963214,,,0,940.5742857,,F,74,64,406.5010714,398.9021429,13,8,466.9139286,400.7628571,303.5714286,59.75535714,25.71428571,18,11,2,3,1,0,0,0,0,0,0
140,1,,,1,,,7337.821786,,,0,,,M,25,125,3904.183214,3339.3825,11,9,3452.340714,2887.836429,0,0,2319.642857,7,6,0,0,3,,,,,,
141,1,1,4,,,,36.60178571,4264.655,0,,,,F,20,24,547.0492857,547.0492857,3,3,1228.748571,1228.748571,160.7142857,1002.962857,60.71428571,13,13,4,4,1,,,,,,
142,1,,,,,,1511.683929,,,,,,F,27,183,714.2857143,714.2857143,1,1,728.1071429,728.1071429,0,0,725.9285714,2,2,0,0,1,0,0,0,0,0,0
143,1,,,,1,,0,,,,853.2671429,,F,66,18,19775.64,18347.06857,10,9,18181.79357,16753.22214,71.42857143,1309.900714,15311.78571,50,49,2,26,15,1,0,1,5.416428571,0,2.410714286
144,1,,,,,,1214.792143,,,,,,M,67,104,178.5735714,178.5735714,2,2,42.42857143,42.42857143,14.28571429,28.14285714,0,3,3,1,2,0,,,,,,
145,1,1,,,,,78.52464286,57205.47107,,,,,M,14,52,1251.037857,1251.037857,4,4,1242.789286,1242.789286,585.7142857,116.0392857,539.6071429,21,21,6,6,8,,,,,,
146,1,,,,,,0.258214286,,,,,,M,37,89,446.9789286,446.9789286,3,3,345.8714286,345.8714286,35.71428571,310.1571429,0,15,15,1,14,0,,,,,,
